question,answer
"What is the scientific method?","A systematic process for observing, hypothesizing, experimenting, and drawing conclusions."
"What is a hypothesis?","A proposed explanation for a phenomenon, to be tested through experimentation."
"Why is critical thinking important?","It enables informed decision-making and effective problem solving."
"What is an ecosystem?","A community of living organisms interacting with each other and their environment."
"What does biodiversity refer to?","The variety of life forms in an ecosystem."
"What is climate change?","Long-term alterations in temperature and weather patterns on Earth."
"What is photosynthesis?","The process by which plants convert sunlight, water, and CO₂ into energy."
"What is gravity?","The force of attraction between objects with mass."
"What is Newton’s second law of motion?","It states that Force equals mass times acceleration (F = ma)."
"Why is the periodic table important?","It organizes chemical elements by properties, aiding in the study of chemistry."
"What is DNA?","The molecule that carries genetic instructions in living organisms."
"What is evolution?","The process by which species adapt and change over time through natural selection."
"How does the brain contribute to learning?","It processes and stores information, enabling memory formation."
"What is basic arithmetic?","The foundational math operations: addition, subtraction, multiplication, and division."
"What is geometry?","A branch of mathematics dealing with shapes, sizes, and properties of space."
"What is literature?","Written works that express ideas, often considered for their artistic merit."
"What is history?","The study of past events and human affairs."
"What is geography?","The study of Earth’s physical features and human-environment interactions."
"What is economics?","The study of production, distribution, and consumption of goods and services."
"What is sociology?","The study of society, social relationships, and human behavior."
"What is the capital of Brazil?","Brasília."
"What is the largest planet in our solar system?","Jupiter."
"What gas do humans primarily breathe?","Oxygen."
"What is the boiling point of water in Fahrenheit?","212°F."
"What is the freezing point of water in Celsius?","0°C."
"What is an atom?","The smallest unit of matter that retains the properties of an element."
"What is the main source of energy for Earth?","The Sun."
"What is a volcano?","A mountain or hill with an opening through which lava, ash, and gases erupt."
"What is the largest ocean on Earth?","The Pacific Ocean."
"What is the tallest mountain in the world?","Mount Everest."
"What is the primary language spoken in Spain?","Spanish."
"What is the currency of Japan?","Yen."
"What year did World War II end?","1945."
"Who discovered penicillin?","Alexander Fleming."
"What is the capital of Canada?","Ottawa."
"What is the smallest country by land area?","Vatican City."
"What is the longest river in the world?","The Nile River."
"What is the primary source of Earth’s oxygen?","Photosynthesis by plants and algae."
"What is a mammal?","A warm-blooded animal with hair or fur that produces milk for its young."
"What is the speed of light?","Approximately 299,792 kilometers per second."
"What is an earthquake?","A sudden shaking of the Earth’s surface caused by tectonic plate movement."
"What is the capital of India?","New Delhi."
"What is the largest desert in the world?","The Sahara Desert."
"What is the primary function of the heart?","To pump blood throughout the body."
"What is the chemical symbol for gold?","Au."
"What is the capital of Russia?","Moscow."
"What year was the United States founded?","1776."
"Who invented the telephone?","Alexander Graham Bell."
"What is the capital of Australia?","Canberra."
"What is the largest continent by land area?","Asia."
"What is the primary source of Earth’s freshwater?","Glaciers and ice caps."
"What is a reptile?","A cold-blooded vertebrate with scales, like snakes or lizards."
"What is the capital of Egypt?","Cairo."
"What is the largest animal on Earth?","The blue whale."
"What is the capital of China?","Beijing."
"What is the primary function of the lungs?","To exchange oxygen and carbon dioxide during breathing."
"What is the chemical symbol for oxygen?","O."
"What is the capital of South Africa?","Pretoria (administrative), Cape Town (legislative), Bloemfontein (judicial)."
"What year did the Titanic sink?","1912."
"Who was the first person to walk on the moon?","Neil Armstrong."
"What is the capital of Mexico?","Mexico City."
"What is the smallest planet in our solar system?","Mercury."
"What is the primary source of energy for cars?","Gasoline or electricity."
"What is a bird?","A warm-blooded vertebrate with feathers and wings."
"What is the capital of Germany?","Berlin."
"What is the largest country by land area?","Russia."
"What is the primary function of the liver?","To filter blood and produce bile."
"What is the chemical symbol for hydrogen?","H."
"What is the capital of Italy?","Rome."
"What year did World War I begin?","1914."
"Who discovered gravity?","Sir Isaac Newton."
"What is the capital of France?","Paris."
"What is the deepest ocean trench?","The Mariana Trench."
"What is the primary source of Earth’s heat?","The Sun and Earth’s internal heat."
"What is an insect?","A small arthropod with six legs and usually wings."
"What is the capital of Japan?","Tokyo."
"What is the largest island in the world?","Greenland."
"What is the primary function of the kidneys?","To filter waste from the blood and produce urine."
"What is the chemical symbol for carbon?","C."
"What is the capital of the United Kingdom?","London."
"What year was the internet invented?","1969 (ARPANET)."
"Who invented the light bulb?","Thomas Edison (improved it; Humphry Davy invented it)."
"What is the capital of Argentina?","Buenos Aires."
"What is the hottest planet in our solar system?","Venus."
"What is the primary source of Earth’s magnetic field?","The movement of molten iron in its core."
"What is a fish?","A cold-blooded vertebrate that lives in water and has gills."
"What is the capital of Spain?","Madrid."
"What is the largest lake in the world?","Lake Superior (by surface area); Caspian Sea (by volume)."
"What is the primary function of the stomach?","To break down food using acids and enzymes."
"What is the chemical symbol for iron?","Fe."
"What is the capital of South Korea?","Seoul."
"What year did the Berlin Wall fall?","1989."
"Who discovered electricity?","Benjamin Franklin (experimented with it; not invented)."
"What is the capital of Nigeria?","Abuja."
"What is the coldest planet in our solar system?","Uranus."
"What is the primary source of Earth’s seasons?","The tilt of Earth’s axis."
"What is an amphibian?","A cold-blooded vertebrate that lives both in water and on land."
"What is the capital of Portugal?","Lisbon."
"What is the largest volcano in the world?","Mauna Loa (by volume)."
"What is the primary function of the pancreas?","To regulate blood sugar and aid digestion."
"What is the chemical symbol for nitrogen?","N."
"What is the capital of Sweden?","Stockholm."
"What year did the French Revolution begin?","1789."
"Who discovered the theory of relativity?","Albert Einstein."
"What is the capital of Chile?","Santiago."
"What is the brightest star in the night sky?","Sirius."
"What is the primary source of Earth’s tides?","The gravitational pull of the Moon."
"What is a crustacean?","An arthropod with a hard shell, like crabs or lobsters."
"What is the capital of Norway?","Oslo."
"What is the largest river by volume?","The Amazon River."
"What is the primary function of the skin?","To protect the body and regulate temperature."
"What is the chemical symbol for sodium?","Na."
"What is the capital of Greece?","Athens."
"What year did Christopher Columbus reach America?","1492."
"Who invented the airplane?","The Wright Brothers (Orville and Wilbur)."
"What is the capital of Peru?","Lima."
"What is the closest planet to the Sun?","Mercury."
"What is the primary source of Earth’s atmosphere?","Volcanic outgassing and photosynthesis."
"What is a plant?","A living organism that produces its own food through photosynthesis."
"What is the capital of Turkey?","Ankara."
"What is the largest coral reef in the world?","The Great Barrier Reef."
"What is the primary function of the eyes?","To detect light and enable vision."
"What is the chemical symbol for potassium?","K."
"What is the capital of Ireland?","Dublin."
"What year did the Industrial Revolution begin?","Around 1760."
"Who discovered the structure of DNA?","James Watson and Francis Crick."
"What is the capital of Colombia?","Bogotá."
"What is the farthest planet from the Sun?","Neptune."
"What is the primary source of Earth’s climate?","Solar radiation."
"What is a fungus?","An organism that feeds on organic matter, like mushrooms."
"What is the capital of Denmark?","Copenhagen."
"What is the largest waterfall in the world?","Angel Falls (by height)."
"What is the primary function of the ears?","To detect sound and maintain balance."
"What is the chemical symbol for calcium?","Ca."
"What is the capital of Thailand?","Bangkok."
"What year did the American Civil War begin?","1861."
"Who invented the printing press?","Johannes Gutenberg."
"What is the capital of Venezuela?","Caracas."
"What is the largest moon in our solar system?","Ganymede (Jupiter’s moon)."
"What is the primary source of Earth’s water cycle?","Evaporation and precipitation."
"What is a bacteria?","A single-celled microorganism that can be beneficial or harmful."
"What is the capital of Finland?","Helsinki."
"What is the largest canyon in the world?","The Grand Canyon."
"What is the primary function of the nose?","To smell and filter air for breathing."
"What is the chemical symbol for silver?","Ag."
"What is the capital of Poland?","Warsaw."
"What year did the Soviet Union dissolve?","1991."
"Who discovered radioactivity?","Marie Curie."
"What is the capital of Indonesia?","Jakarta."
"What is the smallest moon in our solar system?","Deimos (Mars’ moon)."
"What is the primary source of Earth’s wind?","Uneven heating of the atmosphere by the Sun."
"What is a virus?","A microscopic infectious agent that replicates inside living cells."
"What is the capital of Belgium?","Brussels."
"What is the largest delta in the world?","The Ganges-Brahmaputra Delta."
"What is the primary function of the blood?","To transport oxygen, nutrients, and waste."
"What is the chemical symbol for copper?","Cu."
"What is the capital of Austria?","Vienna."
"What year did the Renaissance begin?","Around the 14th century."
"Who invented the steam engine?","James Watt (improved it; Thomas Savery invented it)."
"What is the capital of Philippines?","Manila."
"What is the hottest desert in the world?","The Lut Desert."
"What is the primary source of Earth’s soil?","Weathering of rocks."
"What is a mineral?","A naturally occurring inorganic solid with a specific chemical composition."
"What is the capital of Switzerland?","Bern."
"What is the largest peninsula in the world?","The Arabian Peninsula."
"What is the primary function of the intestines?","To digest food and absorb nutrients."
"What is the chemical symbol for lead?","Pb."
"What is the capital of Netherlands?","Amsterdam."
"What year did the Great Depression begin?","1929."
"Who discovered the circulation of blood?","William Harvey."
"What is the capital of Vietnam?","Hanoi."
"What is the largest asteroid in our solar system?","Ceres."
"What is the primary source of Earth’s rain?","Evaporation from oceans."
"What is a galaxy?","A massive system of stars, gas, and dust held together by gravity."
"What is the capital of New Zealand?","Wellington."
"What is the largest bay in the world?","The Bay of Bengal."
"What is the primary function of the muscles?","To enable movement and maintain posture."
"What is the chemical symbol for zinc?","Zn."
"What is the capital of Ukraine?","Kyiv."
"What year did the first computer appear?","1946 (ENIAC)."
"Who invented the radio?","Guglielmo Marconi."
"What is the capital of Pakistan?","Islamabad."
"What is the brightest planet in the night sky?","Venus."
"What is the primary source of Earth’s lightning?","Charge separation in clouds."
"What is a star?","A celestial body that generates light and heat from nuclear fusion."
"What is the capital of Romania?","Bucharest."
"What is the largest strait in the world?","The Strait of Malacca."
"What is the primary function of the bones?","To provide structure and protect organs."
"What is the chemical symbol for sulfur?","S."
"What is the capital of Hungary?","Budapest."
"What year did the Black Death begin?","1347."
"Who discovered evolution by natural selection?","Charles Darwin."
"What is the capital of Malaysia?","Kuala Lumpur."
"What is the smallest ocean in the world?","The Arctic Ocean."
"What is the primary source of Earth’s earthquakes?","Tectonic plate movement."
"What is a comet?","A small icy body that orbits the Sun and develops a tail when heated."
"What is the capital of Czech Republic?","Prague."
"What is the largest gulf in the world?","The Gulf of Mexico."
"What is the primary function of the spleen?","To filter blood and support the immune system."
"What is the chemical symbol for magnesium?","Mg."
"What is the capital of Iceland?","Reykjavik."
"What year did the moon landing occur?","1969."
"Who invented the telescope?","Hans Lippershey (patented it; Galileo improved it)."
"What is the capital of Bangladesh?","Dhaka."
"What is the largest gas giant in our solar system?","Jupiter."
"What is the primary source of Earth’s volcanoes?","Magma from the mantle."
"What is a nebula?","A cloud of gas and dust in space, often a birthplace of stars."
"What is the capital of Slovakia?","Bratislava."
"What is the largest inland sea in the world?","The Caspian Sea."
"What is the primary function of the thyroid?","To regulate metabolism."
"What is the chemical symbol for aluminum?","Al."
"What is the capital of Bulgaria?","Sofia."
"What year did the Wright brothers fly?","1903."
"Who discovered the laws of motion?","Sir Isaac Newton."
"What is the capital of Morocco?","Rabat."
"What is the closest star to Earth?","The Sun."
"What is the primary source of Earth’s day and night?","Earth’s rotation."
"What is an element?","A pure substance made of one type of atom."
"What is the capital of Algeria?","Algiers."
"What is the largest plateau in the world?","The Tibetan Plateau."
"What is the primary function of the bladder?","To store and expel urine."
"What is the chemical symbol for phosphorus?","P."
"What is the capital of Serbia?","Belgrade."
"What year was penicillin discovered?","1928."
"Who invented the theory of evolution?","Charles Darwin."
"What is the capital of Kenya?","Nairobi."
"What is the largest dwarf planet?","Pluto."
"What is the primary source of Earth’s auroras?","Solar wind interacting with the magnetic field."
"What is a meteor?","A small rock or particle from space that burns up in Earth’s atmosphere."
"What is the capital of Croatia?","Zagreb."
"What is the largest archipelago in the world?","The Malay Archipelago."
"What is the primary function of the gallbladder?","To store and concentrate bile."
"What is the chemical symbol for silicon?","Si."
"What is the capital of Lithuania?","Vilnius."
"What year did the atomic bomb drop?","1945."
"Who discovered the Americas?","Christopher Columbus."
"What is the capital of Ghana?","Accra."
"What is the smallest continent by land area?","Australia."
"What is the primary source of Earth’s gravity?","Its mass."
"What is a constellation?","A group of stars forming a recognizable pattern."
"What is the capital of Latvia?","Riga."
"What is the largest estuary in the world?","The Saint Lawrence Estuary."
"What is the primary function of the adrenal glands?","To produce hormones like adrenaline."
"What is the chemical symbol for titanium?","Ti."
"What is the capital of Estonia?","Tallinn."
"What year was the telephone invented?","1876."
"Who discovered X-rays?","Wilhelm Röntgen."
"What is the capital of Tunisia?","Tunis."
"What is the largest satellite of Saturn?","Titan."
"What is the primary source of Earth’s mountains?","Tectonic plate collisions."
"What is a planet?","A celestial body orbiting a star, massive enough to be rounded by its own gravity."
"What is the capital of Slovenia?","Ljubljana."
"What is the largest atoll in the world?","Kwajalein Atoll."
"What is the primary function of the pituitary gland?","To regulate growth and other endocrine glands."
"What is the chemical symbol for chlorine?","Cl."